Actual Prices,Prediction Prices,Date
1.37697506,0.58766043,01-01-2022
1.377583981,0.6644287,02-01-2022
1.321637034,0.8113605,03-01-2022
1.311658025,0.99346834,04-01-2022
1.236001968,1.1654152,05-01-2022
1.279782057,1.2835187,06-01-2022
1.211547017,1.3455843,07-01-2022
1.18751204,1.3529443,08-01-2022
1.173859954,1.3225414,09-01-2022
1.128051996,1.27361,10-01-2022
1.185109973,1.2167327,11-01-2022
1.304535031,1.1701571,12-01-2022
1.233160973,1.1522362,13-01-2022
1.29092598,1.1502266,14-01-2022
1.29626298,1.1642385,15-01-2022
1.407251,1.1875708,16-01-2022
1.594130993,1.2269253,17-01-2022
1.465541005,1.2977366,18-01-2022
1.341757059,1.3653231,19-01-2022
1.258054972,1.3981252,20-01-2022
1.123232961,1.3875971,21-01-2022
1.066715956,1.3333908,22-01-2022
1.122370958,1.2539057,23-01-2022
1.066598058,1.1777847,24-01-2022
1.043573976,1.1107758,25-01-2022
1.079046965,1.0563933,26-01-2022
1.043532968,1.0207486,27-01-2022
1.050606012,0.9991603,28-01-2022
1.059569955,0.9896362,29-01-2022
1.037472963,0.9900048,30-01-2022
1.052302957,0.9945001,31-01-2022
1.088624001,1.001848,01-02-2022
1.028905988,1.0139877,02-02-2022
1.056444049,1.0221108,03-02-2022
1.135624051,1.0279415,04-02-2022
1.127344966,1.0403955,05-02-2022
1.144546986,1.0569293,06-02-2022
1.197306991,1.075994,07-02-2022
1.178719997,1.100221,08-02-2022
1.194810033,1.123287,09-02-2022
1.15247798,1.1434602,10-02-2022
1.080346942,1.1536329,11-02-2022
1.058199048,1.146169,12-02-2022
1.045819044,1.124223,13-02-2022
1.050266981,1.0944821,14-02-2022
1.107586026,1.0647445,15-02-2022
1.084980965,1.0459946,16-02-2022
1.019894958,1.0364265,17-02-2022
0.997112989,1.02706,18-02-2022
0.997703016,1.0147738,19-02-2022
0.932901978,1.0011873,20-02-2022
0.858236015,0.9818275,21-02-2022
0.889016986,0.9525374,22-02-2022
0.869168997,0.9218682,23-02-2022
0.853425026,0.89308184,24-02-2022
0.898027003,0.8678654,25-02-2022
0.887917995,0.85217756,26-02-2022
0.858335018,0.84509325,27-02-2022
0.959828019,0.841897,28-02-2022
0.962346017,0.8502911,01-03-2022
0.938661993,0.86813945,02-03-2022
0.902658999,0.8882376,03-03-2022
0.842889011,0.9025176,04-03-2022
0.865671992,0.9034107,05-03-2022
0.823751986,0.8955371,06-03-2022
0.797379017,0.879317,07-03-2022
0.801249981,0.8567773,08-03-2022
0.849292994,0.8329045,09-03-2022
0.806316018,0.8158418,10-03-2022
0.790125012,0.80316424,11-03-2022
0.790673971,0.79287183,12-03-2022
0.790995002,0.7847055,13-03-2022
0.803916991,0.7787047,14-03-2022
0.800005972,0.7759608,15-03-2022
0.838374019,0.77571934,16-03-2022
0.836784005,0.78060716,17-03-2022
0.853433013,0.7892199,18-03-2022
0.901099026,0.80094093,19-03-2022
0.877092004,0.81809765,20-03-2022
0.916782022,0.8357523,21-03-2022
0.976440012,0.8547362,22-03-2022
1.107481956,0.87882715,23-03-2022
1.130010962,0.9186506,24-03-2022
1.097887993,0.97075206,25-03-2022
1.150593996,1.021467,26-03-2022
1.18214798,1.0681747,27-03-2022
1.170184016,1.1093829,28-03-2022
1.191112041,1.1399876,29-03-2022
1.190384984,1.1611552,30-03-2022
1.141850948,1.1733057,31-03-2022
1.165424943,1.1721184,01-04-2022
1.156007051,1.1643493,02-04-2022
1.185940981,1.1529988,03-04-2022
1.212944984,1.1447059,04-04-2022
1.170801044,1.1436685,05-04-2022
1.052770972,1.1434039,06-04-2022
1.091894031,1.1289988,07-04-2022
1.026325941,1.1089873,08-04-2022
1.045014977,1.0815266,09-04-2022
1.030884981,1.0543276,10-04-2022
0.920449972,1.0301999,11-04-2022
0.955145001,1.0000857,12-04-2022
0.974695981,0.97129136,13-04-2022
0.932412028,0.9495303,14-04-2022
0.95471698,0.93197364,15-04-2022
0.952639997,0.920939,16-04-2022
0.917465985,0.91579145,17-04-2022
0.936730027,0.911732,18-04-2022
0.95333302,0.909746,19-04-2022
0.937340975,0.91119343,20-04-2022
0.910474002,0.9136499,21-04-2022
0.907154024,0.9134154,22-04-2022
0.888503015,0.910193,23-04-2022
0.886349976,0.9032834,24-04-2022
0.898694992,0.8941967,25-04-2022
0.827645004,0.8860393,26-04-2022
0.840595007,0.87322354,27-04-2022
0.843949974,0.8585738,28-04-2022
0.805042982,0.84487945,29-04-2022
0.756659985,0.8302491,30-04-2022
0.790344,0.8116298,01-05-2022
0.781529009,0.7942813,02-05-2022
0.771144986,0.77978605,03-05-2022
0.896942019,0.7682058,04-05-2022
0.791152,0.7709962,05-05-2022
0.783358991,0.77714723,06-05-2022
0.761882007,0.78186464,07-05-2022
0.739562988,0.7817828,08-05-2022
0.610087991,0.77547336,09-05-2022
0.628962994,0.75385815,10-05-2022
0.512799978,0.72317034,11-05-2022
0.473746002,0.68100554,12-05-2022
0.52887702,0.6311594,13-05-2022
0.53935802,0.5846383,14-05-2022
0.597500026,0.5475979,15-05-2022
0.556716025,0.52611583,16-05-2022
0.578077018,0.5167514,17-05-2022
0.505614996,0.51754624,18-05-2022
0.533321023,0.5199209,19-05-2022
0.517907023,0.5225412,20-05-2022
0.528313994,0.52360314,21-05-2022
0.542617977,0.52367634,22-05-2022
0.512605011,0.5242635,23-05-2022
0.521224022,0.5235402,24-05-2022
0.513876975,0.5219723,25-05-2022
0.480883002,0.5195051,26-05-2022
0.45550701,0.51420295,27-05-2022
0.464763999,0.50483626,28-05-2022
0.48112601,0.49341342,29-05-2022
0.570073009,0.48302794,30-05-2022
0.625253975,0.4812699,31-05-2022
0.552749991,0.49262244,01-06-2022
0.587795019,0.50926167,02-06-2022
0.559657991,0.5285485,03-06-2022
0.566069007,0.54528743,04-06-2022
0.567089975,0.5577127,05-06-2022
0.609327972,0.5655627,06-06-2022
0.615445018,0.5726402,07-06-2022
0.64161402,0.5802779,08-06-2022
0.632920027,0.5902277,09-06-2022
0.574216008,0.600934,10-06-2022
0.552776992,0.60622895,11-06-2022
0.496861011,0.6037081,12-06-2022
0.463133007,0.5908104,13-06-2022
0.484385997,0.5683691,14-06-2022
0.533295989,0.5425431,15-06-2022
0.475021988,0.52134234,16-06-2022
0.487392008,0.50346714,17-06-2022
0.456182003,0.48979998,18-06-2022
0.484364003,0.47830206,19-06-2022
0.492260993,0.4704541,20-06-2022
0.479203999,0.46687078,21-06-2022
0.458568007,0.46604648,22-06-2022
0.480291992,0.4654351,23-06-2022
0.499224007,0.46566013,24-06-2022
0.498946011,0.46801025,25-06-2022
0.489652991,0.4722216,26-06-2022
0.485790014,0.47680202,27-06-2022
0.469671011,0.4805657,28-06-2022
0.465508997,0.481945,29-06-2022
0.458849013,0.48067003,30-06-2022
0.448089004,0.47698665,01-07-2022
0.456351012,0.47114173,02-07-2022
0.455587,0.46474838,03-07-2022
0.46964401,0.4588644,04-07-2022
0.457632005,0.4550526,05-07-2022
0.462179005,0.452749,06-07-2022
0.477811992,0.45183176,07-07-2022
0.467310995,0.45301265,08-07-2022
0.478760004,0.45520577,09-07-2022
0.46322,0.45841458,10-07-2022
0.435519993,0.46109945,11-07-2022
0.41792801,0.4608187,12-07-2022
0.438107997,0.45638525,13-07-2022
0.441024989,0.45014882,14-07-2022
0.442456007,0.4439857,15-07-2022
0.457230002,0.4390282,16-07-2022
0.447353005,0.43665576,17-07-2022
0.492543012,0.43617904,18-07-2022
0.515767992,0.4399204,19-07-2022
0.491043001,0.4489663,20-07-2022
0.50009799,0.4600429,21-07-2022
0.483945996,0.4713502,22-07-2022
0.517368019,0.4802798,23-07-2022
0.513813972,0.4883068,24-07-2022
0.476249993,0.495347,25-07-2022
0.467606992,0.49848232,26-07-2022
0.510553002,0.4969788,27-07-2022
0.513328016,0.49492824,28-07-2022
0.52333498,0.49413818,29-07-2022
0.525575995,0.49564967,30-07-2022
0.517019987,0.499245,31-07-2022
0.514123023,0.50342447,01-08-2022
0.496832997,0.5070218,02-08-2022
0.500988007,0.50830716,03-08-2022
0.499668002,0.50754493,04-08-2022
0.517503023,0.505325,05-08-2022
0.51125598,0.5036528,06-08-2022
0.527469993,0.5027124,07-08-2022
0.536596,0.5035971,08-08-2022
0.514051974,0.50676453,09-08-2022
0.537092984,0.5099203,10-08-2022
0.531257987,0.51374894,11-08-2022
0.540753007,0.5175789,12-08-2022
0.559813023,0.52161455,13-08-2022
0.570343018,0.5269613,14-08-2022
0.551171005,0.5340177,15-08-2022
0.557914972,0.54052114,16-08-2022
0.537038028,0.54591554,17-08-2022
0.512633026,0.54834723,18-08-2022
0.450980008,0.5460732,19-08-2022
0.451388001,0.5355834,20-08-2022
0.463546008,0.5189352,21-08-2022
0.461445987,0.5004534,22-08-2022
0.465207011,0.48314008,23-08-2022
0.458108991,0.46910498,24-08-2022
0.46499899,0.45865953,25-08-2022
0.430862993,0.45214084,26-08-2022
0.449703008,0.44681495,27-08-2022
0.430049002,0.44306526,28-08-2022
0.450702995,0.43957648,29-08-2022
0.452169001,0.4374509,30-08-2022
0.446664989,0.43697432,31-08-2022
0.457480997,0.437509,01-09-2022
0.454558998,0.43926707,02-09-2022
0.480387002,0.4417021,03-09-2022
0.503084004,0.44602963,04-09-2022
0.49912101,0.45345104,05-09-2022
0.463066012,0.4628257,06-09-2022
0.479281992,0.47010043,07-09-2022
0.479274005,0.47505715,08-09-2022
0.502919972,0.4778742,09-09-2022
0.512422025,0.4806276,10-09-2022
0.509751976,0.48450258,11-09-2022
0.501546025,0.4891456,12-09-2022
0.468881011,0.49331963,13-09-2022
0.481375992,0.49412835,14-09-2022
0.465644002,0.49233556,15-09-2022
0.474126011,0.4879027,16-09-2022
0.487156004,0.48242852,17-09-2022
0.447185993,0.4779815,18-09-2022
0.453503996,0.4725511,19-09-2022
0.441899002,0.46654892,20-09-2022
0.44115901,0.4598776,21-09-2022
0.458965987,0.45309293,22-09-2022
0.46182099,0.448055,23-09-2022
0.451599985,0.44547787,24-09-2022
0.446188003,0.4444718,25-09-2022
0.446756989,0.44403562,26-09-2022
0.441890001,0.44374803,27-09-2022
0.437290013,0.4431288,28-09-2022
0.438169986,0.44184545,29-09-2022
0.434413999,0.44010866,30-09-2022
0.430292994,0.4379822,01-10-2022
0.419633001,0.4354637,02-10-2022
0.427998006,0.43212396,03-10-2022
0.435764998,0.42879668,04-10-2022
0.431273013,0.42649353,05-10-2022
0.428687006,0.4251635,06-10-2022
0.424320012,0.4244568,07-10-2022
0.421736002,0.42385054,08-10-2022
0.42307201,0.42300898,09-10-2022
0.40180099,0.42202142,10-10-2022
0.390540004,0.4196459,11-10-2022
0.381300002,0.41524675,12-10-2022
0.377638012,0.40883204,13-10-2022
0.366851002,0.4011168,14-10-2022
0.363743991,0.3925118,15-10-2022
0.370281011,0.38374552,16-10-2022
0.372345001,0.37606934,17-10-2022
0.361820012,0.37026358,18-10-2022
0.350032002,0.36585817,19-10-2022
0.340254009,0.3618843,20-10-2022
0.349076986,0.3575406,21-10-2022
0.351408988,0.35343888,22-10-2022
0.362098992,0.3501547,23-10-2022
0.357856989,0.3485507,24-10-2022
0.401988,0.34838215,25-10-2022
0.403492004,0.35189867,26-10-2022
0.388696998,0.35895708,27-10-2022
0.404507011,0.36725566,28-10-2022
0.419777989,0.37609145,29-10-2022
0.406046987,0.38550398,30-10-2022
0.40633601,0.39389232,31-10-2022
0.401401997,0.4004061,01-11-2022
0.386076003,0.40447876,02-11-2022
0.389420003,0.40528524,03-11-2022
0.421525002,0.4035331,04-11-2022
0.426735014,0.40228355,05-11-2022
0.403005004,0.40291005,06-11-2022
0.404258996,0.403844,07-11-2022
0.37183401,0.4044458,08-11-2022
0.317837,0.40245596,09-11-2022
0.36897701,0.39450452,10-11-2022
0.354667008,0.38464257,11-11-2022
0.339143991,0.37454766,12-11-2022
0.330127001,0.36456218,13-11-2022
0.331849009,0.3548469,14-11-2022
0.337009013,0.3460831,15-11-2022
0.332381994,0.3391219,16-11-2022
0.324858993,0.33398375,17-11-2022
0.326220989,0.33009344,18-11-2022
0.328512013,0.32724684,19-11-2022
0.312307,0.3254319,20-11-2022
0.304547995,0.32356563,21-11-2022
0.311922014,0.32091528,22-11-2022
0.318316996,0.31799993,23-11-2022
0.316457987,0.3156456,24-11-2022
0.314989001,0.3140669,25-11-2022
0.313789994,0.31315807,26-11-2022
0.312453985,0.31269684,27-11-2022
0.306699991,0.31243986,28-11-2022
0.309372008,0.31192935,29-11-2022
0.318883002,0.31123897,30-11-2022
0.314484,0.3110415,01-12-2022
0.319406986,0.31123853,02-12-2022
0.319653988,0.31196082,03-12-2022
0.322750002,0.3131053,04-12-2022
0.319516987,0.31464043,05-12-2022
0.318464011,0.31618097,06-12-2022
0.31031999,0.31742314,07-12-2022
0.314842999,0.31777793,08-12-2022
0.311677009,0.31748167,09-12-2022
0.312606007,0.31662717,10-12-2022
0.307711005,0.31548825,11-12-2022
0.30694899,0.31402144,12-12-2022
0.312864989,0.31232697,13-12-2022
0.30813399,0.31093997,14-12-2022
0.300200999,0.30980042,15-12-2022
0.264070004,0.30842605,16-12-2022
0.266900003,0.30470195,17-12-2022
0.266335011,0.2987781,18-12-2022
0.252943993,0.2915988,19-12-2022
0.259007007,0.28351185,20-12-2022
0.25315401,0.2756522,21-12-2022
0.256523013,0.26853374,22-12-2022
0.259429008,0.26274595,23-12-2022
0.259368002,0.25868383,24-12-2022
0.259270012,0.25631595,25-12-2022
0.265296996,0.25535402,26-12-2022
0.260369986,0.2557384,27-12-2022
0.248377994,0.2568536,28-12-2022
0.244139999,0.25756526,29-12-2022
0.245556995,0.2572534,30-12-2022
0.246465996,0.2560338,31-12-2022
0.249770999,0.25430575,01-01-2023
0.253827989,0.2526278,02-01-2023
0.252795994,0.2515216,03-01-2023
0.267677009,0.2510596,04-01-2023
0.269102007,0.25193933,05-01-2023
0.278652012,0.2541656,06-01-2023
0.277105004,0.25780937,07-01-2023
0.295217991,0.26228032,08-01-2023
0.317101985,0.2678968,09-01-2023
0.322495997,0.27545878,10-01-2023
0.322748989,0.2847174,11-01-2023
0.329757988,0.29463258,12-01-2023
0.345771015,0.30445766,13-01-2023
0.352551997,0.31429893,14-01-2023
0.350367993,0.32402706,15-01-2023
0.350039989,0.33289608,16-01-2023
0.345761001,0.3402607,17-01-2023
0.326835006,0.34553358,18-01-2023
0.33909899,0.34753993,19-01-2023
0.364585996,0.3472687,20-01-2023
0.369026005,0.3472133,21-01-2023
0.376594007,0.3485188,22-01-2023
0.375503987,0.35163167,23-01-2023
0.359297007,0.3559937,24-01-2023
0.373409986,0.35979936,25-01-2023
